Playlist Health Check Report
Generated: 2026-07-24 02:48 UTC

--- Details ---

[OK] Plus TV Motori | OK | EPG MISSING
[OK] Plus Tv Cinema | OK | EPG MISSING
[OK] AGRODOLCE | OK | EPG MISSING
[OK] STAVOLTA TOCCA A ME | OK | EPG MISSING
[OK] TAXI | OK | EPG MISSING
[OK] THE BOX | OK | EPG MISSING
[OK] THE BUNKER | OK | EPG MISSING
[OK] THE THINGS THAT LIE BEHIND THE DARKNESS | OK | EPG MISSING
[OK] THE WITCHES | OK | EPG MISSING
[OK] TRA LE SETTE E LE OTTO | OK | EPG MISSING
[OK] TU CI CREDI NELLA MAGIA | OK | EPG MISSING
[OK] VINDEX FLAMMA | OK | EPG MISSING
[OK] WHEN BUYING A FINE MURDER | OK | EPG MISSING
[OK] ANDIAMO AVANTI | OK | EPG MISSING
[OK] OZYMANDIAS | OK | EPG MISSING
[OK] DODO E LA PRINCIPESSA | OK | EPG MISSING
[OK] LA PERFEZIONE | OK | EPG MISSING
[OK] OBLIO | OK | EPG MISSING
[OK] ADELMO | OK | EPG MISSING
[OK] SOLTANTO UN NASO ROSSO | OK | EPG MISSING
[OK] L'ABITO E L ANIMA | OK | EPG MISSING
[OK] COME IL SALE NELL'ACQUA | OK | EPG MISSING
[OK] CUSTODES | OK | EPG MISSING
[OK] FALLAX | OK | EPG MISSING
[OK] FRANCHITTO | OK | EPG MISSING
[OK] IL DOLORE NASCOSTO | OK | EPG MISSING
[OK] IO RESTO QUA! | OK | EPG MISSING
[OK] KATABASIS INFERNO E RITORNO | OK | EPG MISSING
[OK] L'ULTIME RIVAGE | OK | EPG MISSING
[OK] LE GRIDA DEL SILENZIO | OK | EPG MISSING
[OK] LO CHIAMAVANO MARCUS | OK | EPG MISSING
[OK] LO SCOGLIO DEL LEONE | OK | EPG MISSING
[OK] MALEZA | OK | EPG MISSING
[OK] NO VAYAS A CLASE MANANA | OK | EPG MISSING
[OK] OKLIM | OK | EPG MISSING
[OK] OLTRE | OK | EPG MISSING
[OK] PARENTESI TONDE | OK | EPG MISSING
[OK] PRIGIONIERI DI UN INCUBO | OK | EPG MISSING
[OK]  GIULIETTA E OMICIDI | OK | EPG MISSING
[OK] SAFROM | OK | EPG MISSING
[OK] SCIANEL | OK | EPG MISSING
[OK] IL SOTTILE FASCINO DEL PECCATO | OK | EPG MISSING
[OK] STORIE D'OMBRA E DI ZUCCHERO | OK | EPG MISSING
[OK] THE GAMBLERS | OK | EPG MISSING
[OK] TRAPPOLA D'AUTORE | OK | EPG MISSING
[OK] UN POSTO SICURO | OK | EPG MISSING
[OK] UNA NOTTE BLU COBALTO | OK | EPG MISSING
[OK] UNA VIA FREDDA PER L'INFERNO | OK | EPG MISSING
[OK] VENTO DI PRIMAVERA | OK | EPG MISSING
